Word,Definition,Part of Speech,Synonyms,Antonyms
opposite,"Having a position on the other or further side of something; facing something, especially something of the same type","adjective, noun","facing, across from","same, adjacent"
opposition,"Resistance or dissent, expressed in action or argument","noun, verb","resistance, dissent","support, agreement"
option,A thing that is or may be chosen,"noun, verb","choice, alternative","obligation, necessity"
or,Used to link alternatives,conjunction,"either, alternatively",and
orange,A round juicy citrus fruit with a tough bright reddish-yellow rind,"noun, adjective","citrus, tangerine",none
order,Give an authoritative direction or instruction to do something,"verb, noun","command, direct","request, ask"
ordinary,With no special or distinctive features; normal,"adjective, noun","normal, usual","extraordinary, special"
organization,"An organized body of people with a particular purpose, especially a business, society, association, etc.","noun, verb","institution, group","disorganization, chaos"
organize,Arrange into a structured whole; order,"verb, noun","arrange, coordinate","disorganize, disorder"
organized,Arranged or structured in a systematic way,"adjective, verb","systematic, methodical","chaotic, unorganized"
origin,"The point or place where something begins, arises, or is derived","noun, verb","source, root","end, result"
original,Present or existing from the beginning; first or earliest,"adjective, noun","first, initial","fake, imitation"
originally,From or in the beginning; at first,adverb,"initially, at first",secondarily
other,Used to refer to a person or thing that is different or distinct from one already mentioned or known,"adjective, pronoun","additional, alternative","same, identical"
otherwise,In circumstances different from those present or considered; or else,adverb,"else, if not","therefore, consequently"
ought to,"Used to indicate duty or correctness, typically when criticizing someone's actions",modal verb,"should, must",none
our,Belonging to or associated with the speaker and one or more other people previously mentioned or easily identified,pronoun,belonging to us,none
ours,Belonging to or associated with the speaker and one or more other people,pronoun,ourselves,none
ourselves,Used by a speaker to refer to himself or herself and one or more other people as the object of a verb or preposition when they are also the subject of the clause,pronoun,ourselves,none
out,"Moving or appearing to move away from a particular place, especially one that is enclosed or hidden","adverb, preposition","outside, away","in, inside"
outdoor,"Situated, occurring, or done outside, rather than in a building","adjective, noun","open-air, exterior","indoor, interior"
outdoors,"In, into, or toward the open air","adverb, noun","outside, in the open","inside, indoors"
outer,Situated on or toward the outside,"adjective, noun","external, outside","inner, internal"
outline,A general description or plan giving the essential features of something but not the detail,"noun, verb","summary, sketch",detail
outside,The external side or surface of something,"adjective, adverb","exterior, exterior part","inside, interior"
over,Extending directly upward from,"preposition, adverb","above, on","under, below"
overall,Taking everything into account,"adjective, noun","general, comprehensive","specific, particular"
overcome,Succeed in dealing with (a problem or difficulty),"verb, noun","conquer, defeat","surrender, fail"
owe,"Have an obligation to pay or repay (something, especially money) in return for something received","verb, noun","debt, repay",none
own,Belonging to oneself or itself,"adjective, verb","possess, hold",none
owner,A person who owns something,"noun, verb","proprietor, holder",none
oxygen,"A colorless, odorless reactive gas, the chemical element of atomic number 8 and the life-supporting component of the air","noun, verb",none,none
pack,"Fill (a suitcase or bag), especially with clothes and other items needed when away from home","verb, noun","prepare, bundle",unpack
package,An object or group of objects wrapped in paper or packed in a box,"noun, verb","parcel, box",none
page,"One or both sides of a sheet of paper in a book, magazine, newspaper, or other collection of bound sheets","noun, verb","sheet, leaf",none
pain,Physical suffering or discomfort caused by illness or injury,"noun, verb","ache, discomfort","pleasure, comfort"
painful,Causing physical pain,"adjective, noun","aching, hurting","painless, comfortable"
paint,A colored substance that is spread over a surface and dries to leave a thin decorative or protective coating,"noun, verb","color, coat",none
painter,"A person who paints, especially as a job or hobby","noun, verb","artist, decorator",none
painting,"The process or art of using paint, in a picture, as a protective coating, or as decoration","noun, verb","artwork, picture",none
pair,A set of two things used together or regarded as a unit,"noun, verb","couple, set",none
pale,Light in color or having little color,"adjective, verb","light, wan","dark, colorful"
pan,A metal container used for cooking food in,"noun, verb","skillet, dish",none
pants,Trousers,noun,"trousers, slacks",none
paper,"Material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material","noun, verb","parchment, sheet",none
parent,A father or mother,"noun, verb","guardian, mother or father","child, offspring"
park,"A large public green area in a town, used for recreation","noun, verb","playground, green space",none
parking,The action or practice of temporarily leaving a vehicle in a particular place,"noun, verb","car park, parking area",none
part,A piece or segment of something,"noun, verb","section, piece","whole, entirety"
participant,A person who takes part in something,"noun, verb","member, entrant",non-participant
participate,Take part in an action or endeavor,"verb, noun","join, take part",none
particular,Used to single out an individual member of a specified group or class,"adjective, noun","specific, certain","general, common"
particularly,To a higher degree than is usual or average,adverb,"especially, notably",generally
